Disease,Symptoms,Treatments
Acute pancreatitis,"['The main symptom of acute pancreatitis is a severe, dull pain around the top of your stomach that develops suddenly.', 'This aching pain often gets steadily worse and can travel along your back or below your left shoulder blade. Eating or drinking\xa0may also make you feel worse very quickly, especially fatty foods.', 'Leaning forward or curling into a ball may help to relieve the pain, but lying flat on your back often increases the pain.', 'Acute pancreatitis caused by gallstones usually develops after eating a large meal. If the condition is caused by alcohol, the pain often develops 6 to 12 hours after drinking a significant amount of alcohol.']","['Treatment for acute pancreatitis focuses on supporting the functions of the body until the inflammation has passed.', 'This\xa0usually involves admission to hospital so you can be given fluids into a vein (intravenous fluids), as well as pain relief, nutritional support and oxygen through tubes into your nose.', 'Most people with acute pancreatitis improve within a week and are well enough to leave hospital after 5 to 10 days.', 'However, recovery takes longer in severe cases, as complications\xa0that require additional treatment\xa0may develop.', 'Read more about treating acute pancreatitis .']"
Addison’s disease,"['Addison’s disease is treated with medication to replace the missing hormones. You’ll need to take the medication for the rest of your life.', 'With treatment, symptoms of Addison’s disease can largely be controlled. Most people with the condition live a normal lifespan and\xa0are able to\xa0live an active life, with few limitations.', 'However,\xa0many people with Addison’s disease also find they must learn to manage\xa0bouts of fatigue and there may be associated health conditions, such as diabetes or an underactive thyroid .', 'People with Addison’s disease must be aware\xa0of the risk of a sudden worsening of symptoms, called an adrenal crisis. This\xa0can happen\xa0when the levels of cortisol\xa0in your body fall\xa0significantly due to not taking your medicines, or during another illness.', 'An adrenal crisis is a medical emergency and warning signs include severe nausea, confusion, fever, headache and weakness. If left untreated, it can be fatal. If you or someone you know has Addison’s disease and is experiencing severe symptoms, phone 999 for an ambulance.']","['Treatment usually involves corticosteroid (steroid) replacement therapy for life. Corticosteroid medication is used to replace the hormones cortisol and aldosterone that\xa0your body no longer produces.\xa0It’s usually taken in tablet form 2 or 3 times a day.', 'In most cases, a medication called\xa0hydrocortisone\xa0is used to replace the cortisol. Other possible medicines are\xa0prednisolone or dexamethasone, though these are less commonly used.', 'Aldosterone is replaced with a medication called fludrocortisone. Your GP may also ask you to add extra salt to your daily diet, although if you’re taking enough fludrocortisone medicine this\xa0may not be necessary.\xa0Unlike most people, if you feel the urge to eat something salty, then you should eat it.', 'In general, the medications used for Addison’s disease don’t have side effects, unless your dose is too high. If you take a higher dose than necessary for a long time, there’s a risk of problems such as weakened bones (osteoporosis) , mood swings and difficulty sleeping (insomnia) .']"
Adenomyosis,"['Adenomyosis is a condition that causes the lining of the womb (the endometrium) to bury into the muscular wall of the womb.', 'It can affect the whole womb or just one part of the womb.', 'Adenomyosis is not a life-threatening condition, but the symptoms can have a big impact on your day-to-day life so it’s important to get the support you need.']","['You can use our menstrual health symptom questionnaire (PDF, 421KB) to keep a note of your symptoms and how you’re feeling. You can print it and talk about it with your healthcare professional to help them understand the different symptoms you’re experiencing.']"
Alcohol-related liver disease,"['Alcohol-related liver disease (ARLD) refers to liver damage caused by excess alcohol intake. There are several stages of severity and a range of associated symptoms.', 'ARLD\xa0doesn’t usually cause any symptoms until the liver has been severely damaged. When this happens, symptoms can include:', 'feeling sick', 'weight loss', 'loss of appetite', 'yellowing of the eyes and skin (jaundice)', 'swelling in the ankles\xa0and tummy', 'confusion\xa0or drowsiness', 'vomiting blood or passing blood in your stools']","['The use of medication to directly\xa0treat\xa0ARLD is controversial. Many experts have argued\xa0there’s limited evidence for its effectiveness.', 'For people with severe alcoholic hepatitis, treatment in hospital may be necessary. Specific treatment with\xa0corticosteroids\xa0or pentoxifylline medication may be used to reduce inflammation of the liver in some people with this condition.', 'Nutritional support is also an important part of treatment in these cases.', 'Other medications that have been used to treat liver damage include:', 'anabolic steroids (a more powerful type of steroid medication)', 'ropylthiouracil (a type of medicine originally designed to treat overactive thyroid glands )']"
Allergic rhinitis,"['If you have mild allergic rhinitis, you can often treat the symptoms yourself.', 'Always read the leaflet that comes with your medicine before taking it. Follow the recommended dosage instructions. If you’re not sure which treatments are suitable for you or your child, speak to a pharmacist for advice.', 'Medication won’t cure your allergy, but it can be used to treat the symptoms.', 'Speak to your GP practice if your symptoms do not improve 2 weeks after starting medicine. They may prescribe a stronger medication such as a nasal spray containing corticosteroids .']","['Always read the leaflet that comes with your medicine before taking it. Follow the recommended dosage instructions. If you’re not sure which treatments are suitable for you or your child, speak to a pharmacist for advice.', 'Medication won’t cure your allergy, but it can be used to treat the symptoms.', 'Speak to your GP practice if your symptoms do not improve 2 weeks after starting medicine. They may prescribe a stronger medication such as a nasal spray containing corticosteroids .']"
Allergies,"['Symptoms of an allergic reaction usually develop within a few minutes of being exposed to something you’re allergic to, although occasionally they can develop gradually over a few hours.', 'Although\xa0allergic reactions\xa0can be a nuisance and hamper your normal activities, most are mild. Very occasionally, a severe reaction called anaphylaxis can occur.']","['Immunotherapy may be an option for a small number of people with certain severe and persistent allergies who are unable to control their symptoms using the measures above.', 'The treatment involves being given occasional small doses of the allergen – either as an injection, or as drops or tablets under the tongue\xa0– over the course of several years.', 'The injection\xa0can only be performed in a specialist clinic under the supervision of a doctor, as there is a small risk of a severe reaction. The drops or tablets can usually be\xa0taken at home.', 'The aim of treatment is to help\xa0your body get used to the allergen so it doesn’t react to it so severely.\xa0This won’t necessarily cure\xa0your allergy, but it will make it milder and mean you can take less medication.']"
Alzheimer’s disease,"['Alzheimer’s disease is a progressive condition. This means the symptoms develop gradually and become more severe over time.', 'The first sign of Alzheimer’s disease is usually minor memory problems. For example, a loss of interest and enjoyment in day-to-day activities. It’s also common to forget about recent conversations, events or the names of places.', 'As the condition develops, memory problems become more severe.']","['There’s currently no cure for Alzheimer’s disease. But, there are treatments that can help manage the symptoms. Your GP or healthcare professional can discuss the best treatment options for you.', 'There are things you can do to live well for as long as possible with dementia.', 'Read more about living well with dementia', 'Your future health and social care needs will need to be assessed and a care plan drawn up.', 'This is a way of ensuring you receive the right treatment for your needs. It involves identifying areas where you may need some help, like:']"
Anal cancer,"['The symptoms of anal cancer are often similar to more common and less serious conditions affecting the anus, such as piles (haemorrhoids) and anal fissures (small tears or sores).', 'Symptoms of anal cancer can include:', 'bleeding from the bottom (rectal bleeding)', 'itching and pain around the anus', 'small lumps around the anus', 'a discharge of mucus from the anus', 'loss of bowel control (bowel incontinence)']","['Chemoradiation is a treatment that combines chemotherapy (cancer-killing medication) and radiotherapy (where\xa0radiation\xa0is used to kill cancer cells). It’s currently the most effective treatment for anal cancer. You don’t usually need to stay in hospital when you’re having chemoradiation.', 'Chemotherapy for anal cancer is usually given in 2 cycles, each lasting 4 to 5 days, with a 4-week gap between the cycles. In many cases, part of the chemotherapy is delivered through a small tube called a peripherally inserted central catheter (PICC) in your arm, which can stay in place until your\xa0treatment has finished.', 'The tube means you don’t need to stay in\xa0hospital during each of the cycles of chemotherapy. However, you’ll be attached to a small plastic pump, which you take home with you.', 'A few hospitals now offer tablet chemotherapy for anal cancer, which avoids the need for the pump and PICC.', 'Read more about how chemotherapy is carried out']"
Anaphylaxis,"['Even if adrenaline is given, the person will need to go to hospital for observation\xa0– usually for\xa06 to 12 hours – as symptoms can occasionally return during this period.', 'While in hospital, an oxygen mask can be used to help breathing, and fluids given by an intravenous drip directly into a vein can help increase blood pressure.', 'As well as adrenaline, additional medications such as\xa0antihistamines and corticosteroids can be used to help relieve symptoms. Blood tests may also be carried out while you’re in hospital to confirm anaphylaxis.', 'You should be able to leave hospital when the symptoms are under control and it’s thought they will not return quickly. This may be after a few hours, but you may have to stay in hospital for a few days if the symptoms were severe.', 'You may be asked to take antihistamines and corticosteroid tablets 2\xa0to 3\xa0days after leaving hospital to help stop your symptoms returning.']","['If you think somebody is experiencing symptoms of anaphylaxis, you should use an adrenaline injector if one is available. Dial 999 immediately afterwards.', 'Call 999 straight away if an adrenaline injector is not available.', 'If you can see a potential trigger, such as a wasp or bee sting stuck in their skin, carefully remove it.']"
Angina,"['The main symptom of angina is chest pain. This can:', 'feel like a dull pain, ache, ‘heavy’ or ‘tight’ feeling in your chest', 'spread to your arms, neck, jaw or back', 'be triggered by physical exertion', 'Angina itself is not life threatening, but prolonged chest pain can be a symptom of a heart attack.']","['The 2 main types of angina are stable angina and unstable angina.', 'Stable angina is more common. Attacks are more likely to have a trigger (like physical activity or stress).', 'Symptoms of stable angina usually only last for a few minutes after exercise or stress. They can improve with rest and by taking a medication called Glyceryl trinitrate (GTN).', 'Attacks of unstable angina can be unpredictable and develop without any clear triggers. They might also last longer and continue even when resting.', 'Sometimes, when chest pain occurs suddenly, it’s unclear if it’s due to unstable angina or a heart attack. Until tests confirm the diagnosis, doctors sometimes call this Acute Coronary Syndrome (ACS).']"
Angioedema,['The main sign of angioedema is swelling that develops below the skin’s surface.'],"['Although most cases of angioedema get better without treatment after a few days, medication is often used.', 'For cases of allergic and idiopathic angioedema, antihistamines and oral steroids (steroid tablets) can be used to relieve the swelling.', 'Drug-induced angioedema can usually be treated by\xa0using an alternative medication to treat whatever underlying condition you have.', 'Although the condition cannot be cured, regular drug treatment can prevent attacks in people with hereditary angioedema.', 'Read more about treating angioedema .']"
Ankle sprain,"['These vary from person to person and some symptoms may appear several days after the initial injury.', 'People may experience:', 'swelling\xa0and bruising', 'pain', 'mild heat and redness.', 'loss of movement and strength around the ankle and foot', 'difficulty walking or going up or down stairs', 'tingling, numbness or pins and needles in the affected area']","['The first thing to do after an ankle sprain is manage the pain and swelling.', 'Read more about taking painkillers', 'Reducing the swelling after an ankle sprain helps reduce the pain and increase the range of movement.', 'Read more about soft tissue injury advice', 'As soon as possible gradually start to move the ankle through your normal range of movement. This may be uncomfortable but it’s important to start as soon as possible to help your recovery.']"
Ankle avulsion fracture,"['You should contact your insurance provider before driving as your injury may affect your insurance.', 'Once you’re out of your moonboot or cast the general advice is you must be able to safely perform an emergency stop or manoeuvre.', 'You should always be in full control of your vehicle.']","['Some medications can slow down fracture healing. If you have concerns about your medication talk to a healthcare professional.', 'Anti-inflammatory medication, like Ibuprofen or Naproxen, has been shown to delay healing.']"
Ankylosing spondylitis,"['The symptoms of ankylosing spondylitis can vary from person to person. They can develop slowly over several months or years.', 'The main symptoms include:', 'arthritis – causing pain, tenderness and swelling in the joints', 'enthesitis – painful inflammation where a bone is joined to a tendon or ligament, commonly in the heel, ribs or elbow', 'pain and swelling in other parts of the body – like the hips, knees and ribs', 'fatigue – severe tiredness that doesn’t improve with sleep or rest', 'pain in your lower back in the early morning', 'morning stiffness that lasts at least 30 minutes and then eases through the day or with activity', 'pain that doesn’t improve or gets worse with rest', 'waking up regularly during the night because of the pain', 'pain in the area around your buttocks']","['There is no cure for ankylosing spondylitis. But, treatment is available to help relieve the symptoms.', 'Treatment can also help delay or prevent the spine from fusing (joining up) and stiffening.', 'In most cases, treatment will involve a mix of:', 'exercise', 'physiotherapy', 'medication']"
Anorexia nervosa,"['Anorexia nervosa can have a range of symptoms. Most of the time people won’t have all of these.', 'Symptoms include:', 'if you’re under 18, your weight and height may be lower than the healthy range expected for your age', 'if you’re an adult, you may have an unusually low body mass index (BMI) or rapidly lose weight over a short time', 'severely restricting food, drink and calories so that your body doesn’t get the nutrition it needs', 'thinking about food a lot', 'being very careful about what you eat, such as avoiding eating any foods you see as fattening or unhealthy', 'making yourself sick after food or using drugs like laxatives or weight loss medication', 'believing you’re overweight when you’re a healthy weight or underweight', 'avoiding looking in mirrors or wearing baggy clothes', 'constantly checking your weight and comparing yourself to others', 'if you get periods and you have anorexia nervosa, your periods may stop', 'doing an excessive amount of exercise', 'physical changes, like feeling lightheaded or dizzy, hair loss or dry skin', 'feeling tired and cold', 'changes to your bone density make them more fragile and more likely to break', 'difficulty concentrating, which affects your work or study', 'changes to the way you think which may include making very strict rules for yourself', 'compulsive checking of ingredient lists and nutrition labels', 'having rigid food rules and beliefs.', 'criticising others’ food choices.', 'fixation on eating foods that are considered healthy or clean']","['You can recover from anorexia nervosa, but it may take time and recovery will be different for everyone.', 'There are effective treatments for anorexia nervosa. Recovery usually involves working with a mental health team and will include dietetic support and talking therapies. Some people may also need additional support around their physical health or other treatments.', 'It’s important to start treatment as early as possible to reduce the risk of serious complications.', 'Treatment for anorexia nervosa is slightly different for adults and those under 18 years old.', 'The psychological therapies matrix for Anorexia Nervosa explains what therapies are most likely to help you based on your needs and the current evidence.']"
Anxiety,"['Everyone has feelings of anxiety at some point in their life. For example, you may feel worried and anxious about sitting an exam, or having a job interview.', 'During times like these, feeling anxious can be perfectly normal.', 'But some people find it hard to control their worries. Their feelings of anxiety are more constant and often affect their daily lives.', 'Anxiety is the main symptom of several conditions, including:', 'panic disorder', 'phobias', 'post-traumatic stress disorder (PTSD)', 'social anxiety disorder (social phobia)']","['GAD can have a significant effect on your daily life. There are several different treatments are available that can help. These include:', 'talking therapies – like cognitive behavioural therapy (CBT)', 'medication – like a type of antidepressant called selective serotonin reuptake inhibitors (SSRIs)', 'There are also many things you can do yourself to help reduce your anxiety, like:', 'trying a self-help course', 'exercising regularly', 'stopping smoking', 'cutting down on alcohol', 'drinking less caffeine']"
Anxiety disorders in children,"['Anxiety can make a child feel scared, panicky, embarrassed or ashamed.', 'Some of the signs to look out for in your child are:', 'finding it hard to concentrate', 'not sleeping, or waking in the night', 'not eating properly', 'quickly getting angry or irritable, and being out of control during outbursts', 'constantly worrying or having negative thoughts', 'feeling tense and fidgety, or using the toilet often', 'always crying', 'being clingy all the time (when other children are ok)', 'complaining of tummy aches and feeling unwell', 'being withdrawn and not wanting to do things they used to enjoy']","['If a child is experiencing anxiety, there’s plenty parents and carers can do to help. First, it’s important to listen to your child about their anxiety or worries.', 'YoungMinds has advice and resources for parents.', 'YoungScot has advice and support for young people.']"
Appendicitis,"['Appendicitis typically starts with a pain in the middle of your tummy (abdomen) that may come and go.', 'Within hours, the pain travels to your lower right-hand side, where the appendix is usually located, and becomes constant and severe.', 'Pressing on this area, coughing, or walking may all make the pain worse.', 'If you have appendicitis, you may also have other symptoms, including:', 'feeling sick (nausea)', 'being sick', 'loss of appetite', 'diarrhoea', 'a high temperature (fever) and a flushed face']","['While you recover, it’s important to keep an eye out for signs of any problems.', 'Contact the hospital unit where the appendectomy was performed or your GP for advice if you notice:', 'increasing pain and swelling', 'you start vomiting repeatedly', 'a high temperature (fever)', 'any discharge coming from the wound', 'the wound is hot to touch']"
Arterial thrombosis,"['Arterial thrombosis is a blood clot that develops in an artery. It’s dangerous as it can obstruct or stop the flow of blood to major organs, such as the heart or brain.', 'If a blood clot narrows one or more of the arteries leading to the heart, muscle pain known as angina can occur.', 'If a blood clot blocks the arteries leading to part of the heart muscle, it will cause a heart attack. If it blocks an artery in the brain, it will cause a stroke .', 'Symptoms therefore depend on where the blood clot has formed.']","['If you’ve had blood clot in an artery before, you might need to take medication to prevent it from happening again.', 'Medication can include:', 'statins – used to lower your blood cholesterol levels', 'anticoagulant medicines- such as warfarin', 'antiplatelet medicines – such as low-dose aspirin or angiotensin-converting enzyme (ACE) inhibitors (used to treat high blood pressure)']"
Arthritis,['Your symptoms will vary depending on the type of arthritis you have.'],"['There’s no cure for arthritis, but there are many treatments that can help manage the condition.', 'The best treatment for you will depend on what type of arthritis you have. Often, you will need a combination of treatments to help manage arthritis.', 'Some common treatments for arthritis include:', 'painkillers', 'non-steroidal anti-inflammatory drugs (NSAIDs)', 'corticosteroids', 'disease modifying anti-rheumatic drugs (DMARDs)', 'physiotherapy', 'regular exercise']"
Asbestosis,"['There is no cure for asbestosis once it has developed. It’s not possible to reverse the damage to the lungs.', 'Sometimes, depending on the pattern of scarring seen in the lungs, you may be considered for AntiFibrotic therapy to reduce progression of your lung condition.', 'Pulmonary rehabilitation may be recommended.', 'There are things you can do to help your symptoms.']","['There is no cure for asbestosis once it has developed. It’s not possible to reverse the damage to the lungs.', 'Sometimes, depending on the pattern of scarring seen in the lungs, you may be considered for AntiFibrotic therapy to reduce progression of your lung condition.', 'Pulmonary rehabilitation may be recommended.', 'There are things you can do to help your symptoms.']"
Asthma,"['Symptoms include:', 'coughing', 'wheezing', 'chest tightness', 'breathlessness']","['There is no cure for asthma but there are treatments that can help:', 'prevent future symptoms and attacks', 'relieve your symptoms', 'Most people will take medications once or twice daily, usually using an inhaler. Your nurse, doctor or pharmacist will teach you how to properly use your inhaler.', 'Watch Asthma + Lung UK’s videos on how to use your inhaler']"
Ataxia,"['People with ataxia often find they’re falling over more or can’t walk in a straight line.', 'Other symptoms can include:', 'becoming more clumsy', 'slurred speech', 'problems with swallowing which can cause choking or coughing', 'tremors or shaking', 'fatigue or tiredness', 'problems with sight like blurred or jumpy vision caused by difficulty controlling eye movements']","['There is no cure for ataxia. If the underlying cause of your ataxia is known, this can sometimes be treated which can help improve symptoms or stop your ataxia getting worse. There are treatments available to help with the symptoms.']"
Atopic eczema,"['Your pharmacist should work with you to establish if any triggers make your eczema worse.', 'You may be asked about your diet and lifestyle to see if something obvious may be contributing to your symptoms. For example, you may have noticed some soaps or shampoos make the eczema worse.', 'You may also be asked to keep a food diary to try to determine whether a specific food makes your symptoms worse.', 'A food diary involves writing down everything you eat and making a record of any eczema flare-ups you have. Your pharmacist can then use the diary to see if there is a pattern between your symptoms and what you eat.', 'Allergy tests are not usually needed to identify triggers, although they are sometimes helpful in identifying food allergies that may be triggering symptoms in young children or in those where a food allergy is suspected.']","['Atopic eczema isn’t usually serious and can be treated by a pharmacist. Your pharmacist may recommend that you contact your GP practice if required.', 'Read more about treating\xa0atopic eczema and the complications of atopic eczema .']"
